Created Date;UTM_Campaign;UTM_Content ;UTM_Term;Account Owner Territory;Marketo Qualification Level;Marketo Interest Level;Account Status;Unmatched;Hand Raiser;UTM_Medium
1/10/2023;fy23-q4-amer-bau_enterprise;inspiration_guide;undefined;AMER Emerging Ent - West - 1;Medium;Medium;Unassigned;0;0;paid-social
1/17/2023;fy23-q4-amer-customer_engagement_review_canada;;;AMER Scale - Central;Low;Low;Assigned;0;0;paid-content-syndication
12/20/2022;fy22-amer-email_marketing_platform;;platform_for_email_marketing|email service provider|p|g|c||542343389186#Cj0KCQiA14WdBhD8ARIsANao07g2_pT2MBTCN6qL4QT8HfHSvaMb6MA1f5RS6MSvPY3ZDTxuu1h9fnIaAh1_EALw_wcB;;High;High;Unassigned;0;1;paid-search
12/9/2022;fy23-q4-amer-best_in_class_email_guide;;;AMER Emerging Ent - West - 2;Medium;Low;Assigned;0;0;paid-content-syndication
12/13/2022;fy23-q4-amer-modern_customer_retention_guide;;;AMER Emerging Ent - West - 1;Low;Low;Assigned;0;0;paid-content-syndication
11/21/2022;fy22-amer-email_marketing;undefined;email_marketing|email marketing|p|g|c||542343632615;SMB AMER - East;High;Low;Assigned;0;0;paid-search
12/9/2022;fy23-q4-amer-best_in_class_email_guide;;;AMER Emerging Ent - West - 2;Medium;Low;Assigned;0;0;paid-content-syndication
12/9/2022;fy23-q4-amer-modern_customer_retention_guide;;;AMER Emerging Ent - East - 2;Medium;Low;Assigned;0;0;paid-content-syndication
1/18/2023;fy22-amer-comp_direct_competitors_moengage;mt_competitor_ad_copy_fy22;|moengage|e|g|c||587080375918#CjwKCAiAzp6eBhByEiwA_gGq5JPVUcVC4ZPJ6UO0hGvQ76rA5U-akd04Wo3_Nsz9WZjMqGbA-enIlhoCjsUQAvD_BwE;;Low;;No Account Mapped;1;0;paid-search
12/21/2022;fy23-q4-amer-customer_engagement_review_qsr;;;AMER Emerging Ent - West - 1;Medium;Low;Customer;0;0;paid-content-syndication
1/1/2023;fy22-amer-email_marketing_platform;undefined;platform_for_email_marketing|email service provider|p|g|c||542343389186;;High;Low;No Account Mapped;1;1;paid-search
12/12/2022;fy23-q4-amer-bau_retint;inspiration_guide;undefined;;High;Low;No Account Mapped;1;0;paid-social
1/25/2023;fy23-q4-amer-loyalty_guide;;;AMER Enterprise - Strat;High;Low;Assigned;0;0;paid-content-syndication
12/22/2022;fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_pm_kw|braze|p|g|c||502699581794;;High;Low;No Account Mapped;1;0;paid-search
11/10/2022;fy22-amer-email_marketing_platform;undefined;email_marketing_services|email marketing services|p|g|c||516472499212;SMB AMER - Central;Medium;High;Assigned;0;1;paid-search
1/5/2023;fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||587080375402;AMER Scale - Central;High;Medium;Assigned;0;0;paid-search
12/13/2022;fy23-q4-amer-modern_customer_retention_guide;;;AMER Emerging Ent - West - 1;Medium;Low;Assigned;0;0;paid-content-syndication
12/9/2022;fy23-q4-amer-modern_customer_retention_guide;;;AMER Emerging Ent - East - 2;High;Low;Assigned;0;0;paid-content-syndication
1/31/2023;fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||502608598011;;Medium;High;No Account Mapped;0;0;paid-search
1/22/2023;fy22-amer-email_marketing;undefined;email_marketing|email marketing|p|g|c||542343389210;;High;High;No Account Mapped;1;1;paid-search
1/17/2023;fy23-q4-amer-customer_engagement_review_canada;;;AMER Enterprise - East;Medium;Low;Assigned;0;0;paid-content-syndication
1/30/2023;fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||502608598011;;Medium;Low;No Account Mapped;1;0;paid-search
12/30/2022;fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_integrations|braze integrations|e|g|c||587080375642;AMER Enterprise - East;High;High;Assigned;0;0;paid-search
1/16/2023;fy23-q4-amer-remarketing_allsite;inspiration_guide;undefined;;Medium;Low;No Account Mapped;1;0;paid-social
12/26/2022;fy23-q4-amer-remarketing_allsite;inspiration_guide;undefined;;High;Low;No Account Mapped;1;0;paid-social
12/9/2022;fy23-q4-amer-modern_customer_retention_guide;;;AMER Emerging Ent - West - 2;Low;Low;Assigned;0;0;paid-content-syndication
12/12/2022;fy23-q4-amer-modern_customer_retention_guide;;;AMER Emerging Ent - West - 2;Low;Low;Assigned;0;0;paid-content-syndication
11/3/2022;fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||502608598011;SMB AMER - Central;Medium;Low;Assigned;0;0;paid-search
12/9/2022;fy23-q4-amer-modern_customer_retention_guide;;;AMER Enterprise - East;Low;Low;Assigned;0;0;paid-content-syndication
12/5/2022;fy22-q1-amer-customer_engagement_review;customer_engagement_review;customer_engagement_model|customer engagement model|p|g|c||499449654215;;Medium;Low;No Account Mapped;1;0;paid-search
12/15/2022;fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||502608598011;;High;Medium;Competitor;0;0;paid-search
12/9/2022;fy23-q4-amer-best_in_class_email_guide;;;AMER Emerging Ent - West - 2;High;Low;Assigned;0;0;paid-content-syndication
1/16/2023;fy22-amer-email_marketing_platform;undefined;platform_for_email_marketing|email service provider|p|g|m||542343389186;;High;High;No Account Mapped;0;0;paid-search
1/10/2023;fy23-q4-amer-bau_retint;inspiration_guide;undefined;;High;Low;No Account Mapped;1;0;paid-social
12/1/2022;fy22-amer-email_marketing_platform;undefined;email_marketing_tool|email marketing tool|p|g|c||542343389162;;Low;;No Account Mapped;1;1;paid-search
12/18/2022;fy23-q4-amer-customer_engagement_review_qsr;;;AMER Emerging Ent - West - 1;Low;Low;Assigned;0;0;paid-content-syndication
12/18/2022;fy23-q4-amer-retail_inspiration_guide;;;GSA CPG;Medium;Low;Assigned;0;0;paid-content-syndication
