UTM_Campaign;UTM_Content ;UTM_Term;Marketing Qualified Date;Account Owner Territory;Marketo Qualification Level;Marketo Interest Level;Unmatched;Hand Raiser;UTM_Medium
fy23-q4-amer-remarketing_allsite;inspiration_guide;undefined;1/20/2023 12:00 AM;AMER Emerging Ent - West - 1;Low;Low;0;0;paid-social
fy23-q3-amer-modern_customer_retention_guide;;;11/9/2022 12:00 AM;AMER Enterprise - East;High;Medium;0;0;paid-content-syndication
fy24-q4-amer-email_big;newsletter;undefined;1/11/2023 12:00 AM;AMER Scale - East - 1;High;Low;0;0;paid-content-syndication
fy22-amer-email_marketing_platform;undefined;email_marketing_tool|email marketing tool|p|g|c||542343389162;12/1/2022 12:00 AM;;Low;;1;1;paid-search
fy22-amer-email_marketing_platform;undefined;email_marketing_services|email marketing services|e|g|c||516472499212;12/12/2022 12:00 AM;;High;;1;1;paid-search
fy22-q2-amer-marketing_ecosystems_guide;marketing_ecosystems_guide;;12/15/2022 12:00 AM;AMER Emerging Ent - West - 1;High;Low;0;0;paid-content-syndication
fy22-amer-email_marketing_platform;;email_marketing_tool|email marketing tool|p|g|t||542343389162#Cj0KCQiAlKmeBhCkARIsAHy7WVthh0hhnscw3mjt0iYnU3Ud210zDLeY0DbVqumx0Zy2VxkcroN4y_EaAj81EALw_wcB;1/21/2023 12:32 AM;;High;;1;1;paid-search
fy22-q1-amer-customer_engagement_review;customer_engagement_review;ideas_for_customer_engagement|ideas for customer engagement|p|g|c||499350053475;1/4/2023 12:00 AM;AMER Scale - Central;High;;0;0;paid-search
fy23-q-amer-retail_customer_engagement_review;email_marketing_guide;;1/23/2023 12:00 AM;AMER Enterprise - Central;High;Low;0;0;paid-content-syndication
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze-pricing_em|braze pricing|e|g|c||502656816223#CjwKCAiA5sieBhBnEiwAR9oh2vHOZLsfyzybUtgSfAUeWCkxljQN7M8sh5m1xysjKl3jErOR-aHFFhoC7qwQAvD_BwE;1/26/2023 12:52 PM;SMB AMER - West;High;Low;1;1;paid-search
fy22-amer-email_marketing_platform;;platform_for_email_marketing|email service provider|p|g|c||542343389186#EAIaIQobChMIvcXQmayf_AIVF-TICh3EMw6uEAAYASAAEgI2a_D_BwE;12/29/2022 12:31 PM;;High;;1;1;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||502608598011;12/8/2022 12:00 AM;SMB AMER - AM;High;Low;1;1;paid-search
fy23-q2-amer-comp_direct_competitors_klaviyo;mt_competitor_ad_copy_fy22;|klaviyo|p|g|m||610788573080;12/7/2022 12:00 AM;SMB AMER - Central;High;;0;1;paid-search
fy23-q4-amer-best_in_class_email_guide;;;12/16/2022 12:00 AM;AMER Scale - Central;High;Low;0;0;paid-content-syndication
fy23-q3-amer-modern_customer_retention_guide;;;1/10/2023 12:00 AM;AMER Enterprise - Strat;High;Medium;0;0;paid-content-syndication
fy23-q4-amer-best_in_class_email_guide;;;1/11/2023 12:00 AM;AMER Emerging Ent - East - 2;High;Low;0;0;paid-content-syndication
fy22-amer-push_and_messaging;mt_push_and_messaging_ad_copy_fy22;|push notifications marketing|p|g|c||511889410301;11/3/2022 12:00 AM;SMB AMER - West;High;Low;0;0;paid-search
fy23-q4-amer-retail_inspiration_guide;;;1/25/2023 12:00 AM;AMER Enterprise - Central;High;Low;0;0;paid-content-syndication
fy23-q4-amer-customer_engagement_review_canada;;;1/9/2023 12:00 AM;AMER Enterprise - Strat;High;Low;0;0;paid-content-syndication
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||587080375402;11/3/2022 12:00 AM;SMB AMER - East;Medium;Low;1;1;paid-search
fy23-q4-amer-bau_smb;retention_guide;undefined;1/31/2023 12:00 AM;SMB AMER - West;High;Low;0;0;paid-social
fy24-q3-amer-customer_engagement_review;customer_engagement_review;;12/9/2022 12:00 AM;AMER Enterprise - Central;High;Low;0;0;paid-content-syndication
fy22-amer-acq_e_retention-marketing;mt_retention_ad_copy_fy22;app-retention_em|app retention|e|g|c||572731153879;1/8/2023 12:00 AM;AMER Enterprise - East;High;;0;0;paid-search
